source,url,published_at,title,text
Deloitte (Engineering & Construction),https://www.deloitte.com/us/en/insights/industry/engineering-and-construction.html?icid=disidenav_engineering-and-construction,2025-12-24,Engineering and Construction,"The Deloitte Research Center for Energy & Industrials combines rigorous research with industry-specific knowledge and practice-led experience to deliver insights that can drive business impact. The energy, resources, and industrials industry is the nexus for building, powering, and securing the smart, connected world of tomorrow. Our research uncovers opportunities that can help businesses thrive.
Learn more"
Deloitte (Engineering & Construction),https://www.deloitte.com/us/en/insights/industry/engineering-and-construction.html?icid=disubnav_engineering-and-construction,2025-12-24,Engineering and Construction,"The Deloitte Research Center for Energy & Industrials combines rigorous research with industry-specific knowledge and practice-led experience to deliver insights that can drive business impact. The energy, resources, and industrials industry is the nexus for building, powering, and securing the smart, connected world of tomorrow. Our research uncovers opportunities that can help businesses thrive.
Learn more"
Smart Cities World,https://www.smartcitiesworld.net/air-quality,2025-12-24,Air Quality in Cities,"Discover how this year’s Cities Climate Action Summit puts the spotlight on the switch to clean and renewable energy, and the importance of energy-efficiency.

Discover how the city of Madrid is innovating to become a smarter, more sustainable city that’s able to deliver improved services to residents and visitors alike.

Andrea Sorri of Axis Communications explains how AI can be used to maximise insights from existing infrastructure and enable cities to avoid the costs of deploying new sensors.
ST Engineering’s Richard Ng explains how integrated smart city platforms can support cities in becoming more sustainable and efficient at the scale that is right for them.

Download our latest report to uncover how artificial intelligence is being used to support cities in how they plan and operate city services to ensure they are vibrant, sustainable and economically thriving modern spaces."
Smart Cities World,https://www.smartcitiesworld.net/analytics,2025-12-24,Analytics,"Discover how this year’s Cities Climate Action Summit puts the spotlight on the switch to clean and renewable energy, and the importance of energy-efficiency.

Discover how the city of Madrid is innovating to become a smarter, more sustainable city that’s able to deliver improved services to residents and visitors alike.

Andrea Sorri of Axis Communications explains how AI can be used to maximise insights from existing infrastructure and enable cities to avoid the costs of deploying new sensors.
ST Engineering’s Richard Ng explains how integrated smart city platforms can support cities in becoming more sustainable and efficient at the scale that is right for them.

Download our latest report to uncover how artificial intelligence is being used to support cities in how they plan and operate city services to ensure they are vibrant, sustainable and economically thriving modern spaces."
Smart Cities World,https://www.smartcitiesworld.net/batteries-and-renewables,2025-12-24,Batteries and renewables,"With Cities Climate Action Summit 2024 at a close, look back at some of the key actions and considerations for cities including actionable insights to accelerate climate action, emphasising the development of policies, the deployment of cutting edge technologies and the methods of financing projects in climate action across energy, mobility and the built environment."
Smart Cities World,https://www.smartcitiesworld.net/cities-climate-action-summit,2025-12-24,Cities Climate Action Summit,"24 - 25 June 2025
Online & In-Person (London)
3,000+
Delegates
60+
Speakers
30+
Sessions
750+
Cities & Local Authorities
CITIES CLIMATE ACTION SUMMIT
Connecting cities for a resilient future
Cities Climate Action Summit is the must-attend city, local-government and sub-national event dedicated to discuss how cities around the globe can drive change. Bringing together visionary city leaders, creative policymakers, green finance experts, and cutting-edge technology innovators, our mission is to drive action into solving urban climate challenges.
THE FLAGSHIP CITY-FOCUSED EVENT DURING LONDON CLIMATE ACTION WEEK
Virtual Agenda | 23 June 2026
In-Person | 24 June 2026
What can you expect from Cities Climate Action Summit?
In this two-day event (one virtual, one in-person) you can be part of the conversation that will drive impactful change. You'll gain insights to develop strategies to building a smart, resilient city that addresses climate change, while considering liveability, equity, and long-term sustainability.
Held during London Climate Action Week, you'll hear from world class, international city leaders and climate experts. You'll be able to engage in dynamic discussions through exclusive roundtables, acquire valuable perspectives from thought-provoking panel debates, and enjoy intimate fireside chats with industry pioneers.
Who registered for 2025?
Over 3,000 delegates signed up for this years' Summit and were surrounded with a global audience of climate, technology, finance, policy, and smart city professionals to teach and hear the latest in climate advancements.
Take a look below at just some of our delegation...
""This event is a powerful testament to the collective determination of cities worldwide to address the urgent challenges of climate change. The summit provided a unique platform for thought leaders, innovators, and policymakers to come together.""
Jaromir Beranek, Chairman of International Relations and EU Funds, City of Prague
Our ground-breaking Cities Climate Action Trend Report lays the foundation for this event - which analyses 200 cities’ targets, actions and priorities in the fight against climate change. We also build on the work achieved through the SmartCitiesWorld COP26 Charter alongside our recent Cities Climate Action Panel Discussion
Our world-class speakers make the case for a new climate imperative. Our audience provides the network to mobilise best practices for cities worldwide.
Just some of the quotes that City Halls gave us:
""Cities shouldn’t wait for a new optimal technology to emerge in the future to get started because there are already so many ways to get started off the shelf.""
Björn Hugosson, Chief Climate Officer, City of Stockholm
""The importance is working with other levels of government, communities and the private
sector as we just can’t do it alone.""
Lord Mayor Sally Capp, City of Melbourne
Different from traditional city events, the Summit seeks to uncover tangible solutions—you will see and hear the latest from leading policymakers, technologists and financiers to learn what is working and what is not working.
The Summit will provide a holistic view of how urban climate action can be achieved at scale.
Experts across the globe from the World Bank to the World Economic Forum estimate investment needed to combat the climate crisis surpasses US$90 trillion by 2030.
And cities are at the crossroad for this investment! The Summit will focus on the policy, the finance and the technology to make these investments wisely—to inform city leaders so they can work to serve and protect their citizens"
Smart Cities World,https://www.smartcitiesworld.net/city-profile/smart-cities-reports/smartcitiesworld-city-profile-2024--city-of-madrid-10751,2025-12-24,SmartCitiesWorld City Profile – City of Madrid,"Discover how the city of Madrid is innovating to become a smarter, more sustainable city that’s able to deliver improved services to residents and visitors alike.
In the latest SmartCitiesWorld City Profile, we’re turning our attention to the city of Madrid. Spain’s capital, Madrid is nation’s largest city and has the second-most populous metropolitan area in the EU. Known for its vibrant economy and high standard of living, Madrid generates an estimated 12 per cent of Spain’s GDP and employs more than 10 per cent of the country’s workforce.
The city is a financial and commercial centre in Southern Europe with a thriving service sector that drives the local economy, accounting for almost 80 per cent of its output. Madrid maintains a strong industrial presence, with advantages in infrastructure and its position as a vital transport hub.
Our City Profiles act as a toolbox for other cities, splitting out the city’s challenges and matching them to solutions that demonstrate exactly how technology, policy and investment come together to overcome both every-day and long-term issues. Here, we’re focusing on the city of Madrid’s:
On 22 October we hosted a panel discussion with Madrid City Council’s Director of Strategic Marketing, Abigail Sigüenza. Together with Microsoft’s Alejandro Mullor, we explored the VisitMadridGPT project, an innovative AI-driven virtual assistant developed in collaboration between Madrid Destino (the Madrid City Council Tourism Department) and Microsoft. Watch OnDemand now below to discover how the project team trained the AI model to deliver accurate, conversational responses and how the data gathered from visitor queries is informing and improving the city of Madrid’s marketing strategies.
In association with:
Why not try these links to see what our SmartCitiesWorld AI can tell you.
(Please note this is an experimental service)
How does VisitMadridGPT enhance personalised visitor experiences using AI technology?What strategies support inclusive citizen engagement in Madrid’s governance model?How is Madrid integrating renewable energy within its 360 Roadmap to Climate Neutrality?In what ways does Madrid’s Sustainable Mobility Plan improve public transportation options?How do Madrid Nuevo Norte and Nuevo Sur projects expand urban green and commercial spaces?"
Smart Cities World,https://www.smartcitiesworld.net/cloud-and-edge-computing,2025-12-24,Cloud and edge computing,"Discover how this year’s Cities Climate Action Summit puts the spotlight on the switch to clean and renewable energy, and the importance of energy-efficiency.

Discover how the city of Madrid is innovating to become a smarter, more sustainable city that’s able to deliver improved services to residents and visitors alike.

Andrea Sorri of Axis Communications explains how AI can be used to maximise insights from existing infrastructure and enable cities to avoid the costs of deploying new sensors.
ST Engineering’s Richard Ng explains how integrated smart city platforms can support cities in becoming more sustainable and efficient at the scale that is right for them.

Download our latest report to uncover how artificial intelligence is being used to support cities in how they plan and operate city services to ensure they are vibrant, sustainable and economically thriving modern spaces."
Smart Cities World,https://www.smartcitiesworld.net/cloud-and-edge-computing?nav=top,2025-12-24,Cloud and edge computing,"Discover how this year’s Cities Climate Action Summit puts the spotlight on the switch to clean and renewable energy, and the importance of energy-efficiency.

Discover how the city of Madrid is innovating to become a smarter, more sustainable city that’s able to deliver improved services to residents and visitors alike.

Andrea Sorri of Axis Communications explains how AI can be used to maximise insights from existing infrastructure and enable cities to avoid the costs of deploying new sensors.
ST Engineering’s Richard Ng explains how integrated smart city platforms can support cities in becoming more sustainable and efficient at the scale that is right for them.

Download our latest report to uncover how artificial intelligence is being used to support cities in how they plan and operate city services to ensure they are vibrant, sustainable and economically thriving modern spaces."
Smart Cities World,https://www.smartcitiesworld.net/mobility,2025-12-24,Mobility,"Discover how this year’s Cities Climate Action Summit puts the spotlight on the switch to clean and renewable energy, and the importance of energy-efficiency.

Discover how the city of Madrid is innovating to become a smarter, more sustainable city that’s able to deliver improved services to residents and visitors alike.

Andrea Sorri of Axis Communications explains how AI can be used to maximise insights from existing infrastructure and enable cities to avoid the costs of deploying new sensors.
ST Engineering’s Richard Ng explains how integrated smart city platforms can support cities in becoming more sustainable and efficient at the scale that is right for them.

Download our latest report to uncover how artificial intelligence is being used to support cities in how they plan and operate city services to ensure they are vibrant, sustainable and economically thriving modern spaces."
