title,publication_date,source,url,description,ai_keywords_found,ce_keywords_found
"Elon Musk, AI and the antichrist: the biggest tech stories of 2025",2025-12-23T17:03:50Z,Guardian - Technology,https://www.theguardian.com/technology/2025/dec/22/biggest-tech-stories-2025,"A look back at the biggest tech stories of the year, from the rise and fall of Musk’s Doge to lucrative investments into AI",artificial intelligence,construction
Trump officials halt offshore wind-farm projects over ‘national security risks’,2025-12-22T16:16:03Z,Guardian - US news,https://www.theguardian.com/us-news/2025/dec/22/trump-wind-farms,Interior department move affects five projects under construction in latest blow to industry targeted by Trump,artificial intelligence,construction
Why is Truth Social owner Trump Media merging with a fusion energy firm?,2025-12-19T17:42:41Z,Guardian - Business,https://www.theguardian.com/business/2025/dec/19/trump-media-tae-technologies-energy-merger,What we know about the deal with TAE Technologies so far – from why it is happening to what fusion energy is,artificial intelligence,"infrastructure, construction"
"AI boom has caused same CO2 emissions in 2025 as New York City, report claims",2025-12-18T11:15:59Z,Guardian - Technology,https://www.theguardian.com/technology/2025/dec/18/2025-ai-boom-huge-co2-emissions-use-water-research-finds,Study author says tech companies are reaping benefits of artificial intelligence age but society is left to pay cost,"generative AI, artificial intelligence",construction
Water levels across the Great Lakes are falling – just as US data centers move in,2025-12-16T13:00:05Z,Guardian - Technology,https://www.theguardian.com/technology/2025/dec/16/great-lakes-us-data-centers,Region struggling with drought now threatened by energy-hungry facilities – but some residents are fighting back,artificial intelligence,"infrastructure, construction"
How the tech industry’s embrace of Trump may be paying dividends,2025-12-16T12:56:27Z,Guardian - Global,https://www.theguardian.com/global/2025/dec/15/ai-trump-openai-google-data-centers,"An AI order favors tech, OpenAI chases Google and data centers look beyond Earth",artificial intelligence,construction
‘I hope he loses’: Trump blasts Indiana Republican senate leader after his state redistricting effort gets blocked – as it happened,2025-12-12T01:15:48Z,Guardian - US news,https://www.theguardian.com/us-news/live/2025/dec/11/us-seizes-venezuela-tanker-democrats-republicans-donald-trump-latest-news,This live blog is now closed.,artificial intelligence,"concrete, construction"
"BoE predicts budget measures will lower inflation, and denies uncertainty caused unusual bond market volatility – as it happened",2025-12-09T16:36:30Z,Guardian - Business,https://www.theguardian.com/business/live/2025/dec/09/trump-nvidia-powerful-ai-chips-china-stock-markets-bonds-inflation-business-live-news-updates,"Rolling coverage of the latest economic and financial news, as Bank of England policymakers testify to MPs on the Treasury committee","generative AI, artificial intelligence","infrastructure, construction"
Budget uncertainty triggers plunge in UK construction activity; Trustpilot shares slump after short-seller claims – as it happened,2025-12-04T15:18:49Z,Guardian - Business,https://www.theguardian.com/business/live/2025/dec/04/uk-energy-network-28bn-upgrade-ofgem-construction-car-sales-stock-markets-business-live-news-updates,Rolling coverage of the latest economic and financial news,artificial intelligence,"infrastructure, construction"
The AI boom is heralding a new gold rush in the American west,2025-12-04T12:00:19Z,Guardian - Technology,https://www.theguardian.com/technology/2025/dec/04/nevada-ai-data-centers,"Once home to gold and prospectors, the Nevada desert is now the site of a new kind of expansion: tech datacenters",artificial intelligence,"infrastructure, concrete, construction"
Thames Water profits surge on higher bills; Prada buys Versace for $1.4bn – as it happened,2025-12-03T15:11:38Z,Guardian - Business,https://www.theguardian.com/business/live/2025/dec/03/thames-water-profits-surge-higher-bills-prada-buys-versace-for-14bn-business-live-news,Rolling coverage of the latest economic and financial news,artificial intelligence,"infrastructure, construction"
Pete Hegseth says he ‘didn’t stick around’ to watch second strike on alleged drug boat as Democrats slam administration over attacks – as it happened,2025-12-03T03:07:51Z,Guardian - US news,https://www.theguardian.com/us-news/live/2025/dec/02/donald-trump-pete-hegseth-boat-venezuela-maduro-tennessee-us-politics-live-news-updates,Defense secretary says he ‘moved on to my next meeting’ as sensitive military operation was under way; top Democrat calls Hegseth ‘spineless’ and ‘a national embarrassment’. This blog is now closed.,artificial intelligence,"transportation, concrete, construction"
AI poses unprecedented threats. Congress must act now,2025-12-02T12:00:31Z,Guardian - Opinion,https://www.theguardian.com/commentisfree/2025/dec/02/artificial-intelligence-threats-congress,"Despite the speed at which it is progressing, AI is getting far too little discussion in Congress, the media and within the general population. That has got to change","robotics, artificial intelligence, automation",construction
ABC boss denies host an ‘activist’ after criticism from Nampijinpa Price – as it happened,2025-12-02T07:08:02Z,Guardian - Australia news,https://www.theguardian.com/australia-news/live/2025/dec/02/australia-news-live-one-nation-liberal-coalition-barnaby-joyce-pauline-hanson-budget-estimates-labor-ai-plan-ntwnfb,This blog is now closed,artificial intelligence,"tunnel, concrete, structural, construction, bridge"
