source,title,description,text,url,published_at,original_ce_keywords,ce_areas,ai_technologies,confidence,reason
Guardian,Trump officials halt offshore wind-farm projects over ‘national security risks’,Interior department move affects five projects under construction in latest blow to industry targeted by Trump,,https://www.theguardian.com/us-news/2025/dec/22/trump-wind-farms,2025-12-22T16:16:03Z,construction,Environmental Engineering,,1.0,"The article discusses the halting of offshore wind-farm projects, which fall under environmental engineering due to their focus on renewable energy and sustainability."
Guardian,Why is Truth Social owner Trump Media merging with a fusion energy firm?,What we know about the deal with TAE Technologies so far – from why it is happening to what fusion energy is,,https://www.theguardian.com/business/2025/dec/19/trump-media-tae-technologies-energy-merger,2025-12-19T17:42:41Z,"construction, infrastructure",Environmental Engineering,,1.0,"The article discusses a merger between Trump Media and a fusion energy firm, TAE Technologies, which falls under the realm of environmental engineering due to the focus on renewable energy and energy infrastructure."
Guardian,Water levels across the Great Lakes are falling – just as US data centers move in,Region struggling with drought now threatened by energy-hungry facilities – but some residents are fighting back,,https://www.theguardian.com/technology/2025/dec/16/great-lakes-us-data-centers,2025-12-16T13:00:05Z,"construction, infrastructure",Environmental Engineering,,1.0,"The article discusses the impact of falling water levels in the Great Lakes, which is directly related to environmental engineering due to concerns about water resources and sustainability."
Guardian,How the tech industry’s embrace of Trump may be paying dividends,"An AI order favors tech, OpenAI chases Google and data centers look beyond Earth",,https://www.theguardian.com/global/2025/dec/15/ai-trump-openai-google-data-centers,2025-12-16T12:56:27Z,construction,Construction Management,Generative Design,1.0,"The article discusses tech industry activities related to AI orders, OpenAI, and data centers, which are often involved in construction management aspects such as project management and infrastructure development."
Guardian,Budget uncertainty triggers plunge in UK construction activity; Trustpilot shares slump after short-seller claims – as it happened,Rolling coverage of the latest economic and financial news,,https://www.theguardian.com/business/live/2025/dec/04/uk-energy-network-28bn-upgrade-ofgem-construction-car-sales-stock-markets-business-live-news-updates,2025-12-04T15:18:49Z,"construction, infrastructure",Construction Management,,1.0,"The article discusses the impact of budget uncertainty on UK construction activity, which falls under Construction Management in Civil Engineering."
Guardian,The AI boom is heralding a new gold rush in the American west,"Once home to gold and prospectors, the Nevada desert is now the site of a new kind of expansion: tech datacenters",,https://www.theguardian.com/technology/2025/dec/04/nevada-ai-data-centers,2025-12-04T12:00:19Z,"construction, concrete, infrastructure",Construction Management,Predictive Analytics,0.9,"The article discusses the expansion of tech datacenters in the Nevada desert, which falls under Construction Management. The mention of datacenters implies the use of Predictive Analytics for tasks such as risk assessment and forecasting."
Guardian,Anthropic announces $50bn plan for datacenter construction in US,AI startup behind Claude chatbot working with London-based Fluidstack on building vast new computing facilities,,https://www.theguardian.com/technology/2025/nov/12/anthropic-50bn-datacenter-construction,2025-11-12T22:29:49Z,"construction, infrastructure",Construction Management,Generative Design,0.9,"The article focuses on a $50bn plan for datacenter construction, which falls under Construction Management. The use of AI technologies in building vast computing facilities suggests the application of Generative Design for optimization and design optimization."
Guardian,Tehan and Ley to reveal Liberals’ net zero emissions position tomorrow – as it happened,This blog is now closed,,https://www.theguardian.com/australia-news/live/2025/nov/12/australia-news-live-fossil-fuel-lending-banks-net-zero-emissions-coalition-sussan-ley-liberals-nationals-anthony-albanese-labor-ntwnfb,2025-11-12T07:07:32Z,"construction, infrastructure, structural",Construction Management,,0.0,"The article provided no text or information related to Civil Engineering or AI technologies, making it impossible to classify into any specific area."
Guardian,The race begins to make the world’s best self-driving cars,Chinese search giant Baidu challenges Google’s Waymo’s driverless vehicles and Musk aims for a $1tn pay package,,https://www.theguardian.com/technology/2025/nov/10/waymo-baidu-apollo-go-china-elon-musk-tesla,2025-11-11T14:27:20Z,"construction, transportation",Transportation,Robotics/Automation,0.9,"The article discusses the competition in self-driving cars, which falls under Transportation engineering. Additionally, the focus on driverless vehicles and challenges in making the best self-driving cars align with Robotics/Automation in AI technologies."
Guardian,Waiting for the tsunami: Tofino’s waves are loved by surfers – but this Canadian town is braced for disaster ,How do you plan for an event whose timing is unknown? For Tofino’s residents the threat is distant but signs of preparedness are everywhere,,https://www.theguardian.com/environment/2025/nov/11/canada-tofino-disasters-earthquakes-tsunami-tourism-tectonics,2025-11-11T12:00:54Z,construction,Environmental Engineering,,1.0,"The article discusses preparedness for a potential disaster in Tofino, which falls under environmental engineering as it involves sustainability, disaster management, and potentially climate-related aspects."
Guardian,Datacenters meet resistance over environmental concerns as AI boom spreads in Latin America,An expert describes how communities in some of the world’s driest areas are demanding transparency as secretive governments court billions in foreign investment,,https://www.theguardian.com/technology/2025/nov/10/data-centers-latin-america,2025-11-10T23:58:06Z,"construction, infrastructure",Environmental Engineering,,1.0,"The article discusses environmental concerns related to the spread of AI in Latin America, focusing on transparency and foreign investment in dry areas. This falls under the Environmental Engineering area due to the emphasis on sustainability and potential impacts on water and energy infrastructure."
Guardian,Boom or bubble? Inside the $3tn AI datacentre spending spree,Investment in these vast warehouses is huge but some worry the debt-fuelled exuberance will backfire,,https://www.theguardian.com/technology/2025/nov/02/global-datacentre-boom-investment-debt,2025-11-02T12:00:02Z,"construction, infrastructure, concrete, structural",Construction Management,Predictive Analytics,0.9,"The article discusses the investment in AI datacentres, which involves aspects of construction management such as cost estimation, site monitoring, and project management. Additionally, the concern about debt-fuelled exuberance relates to the use of predictive analytics for risk assessment and forecasting in the AI datacentre spending spree."
Guardian,"Amazon strategised about keeping its datacentres’ full water use secret, leaked document shows",Executives at world’s biggest datacentre owner grappled with disclosing information about water used to help power facilities,,https://www.theguardian.com/technology/2025/oct/25/amazon-datacentres-water-use-disclosure,2025-10-25T10:00:32Z,construction,Environmental Engineering,,1.0,"The article discusses the water usage of datacentres, which falls under environmental engineering in terms of sustainability and water management."
Guardian,Fears over higher rates as Georgia moves to provide more electricity for AI datacenters,"State’s Republican-dominated public service commission to decide on power expansion and prices, as Democrats vie for seats at table",,https://www.theguardian.com/us-news/2025/oct/19/georgia-electricity-datacenters,2025-10-19T12:00:13Z,construction,Environmental Engineering,,1.0,"The article discusses the provision of electricity for AI datacenters, which falls under energy infrastructure and sustainability, thus aligning with Environmental Engineering in Civil Engineering."
Guardian,Embracing Innovation: businesses improving Australia’s future,Meet the winning businesses that are innovating with technology to help solve modern challenges,,https://www.theguardian.com/telstra-best-of-business-awards-2025/2025/oct/07/embracing-innovation-businesses-improving-australias-future,2025-10-06T19:26:49Z,construction,"Construction Management, Environmental Engineering","Predictive Analytics, Generative Design",0.9,"The article focuses on businesses using technology to innovate and solve modern challenges, indicating a connection to construction management and environmental engineering. The mention of solving challenges aligns with the use of predictive analytics and generative design for risk assessment, forecasting, and design optimization."
Guardian,"‘We want builders on site, not filling in forms’: Albanese government cuts red tape in bid to boost home building","Pausing changes to Construction Code, establishment of ‘strike team’ within environment department and use of AI in planning among reforms",,https://www.theguardian.com/australia-news/2025/aug/23/we-want-builders-on-site-not-filling-in-forms-albanese-government-cuts-red-tape-in-bid-to-boost-home-building,2025-08-24T00:43:55Z,construction,"Construction Management, Environmental Engineering",Predictive Analytics,0.9,"The article mentions reforms related to cutting red tape in home building, which falls under Construction Management. Additionally, the use of AI in planning for reforms aligns with Predictive Analytics for risk assessment and forecasting."
Guardian,Queensland court bans pro-Palestine bridge rally; Chalmers reveals list of 10 priorities from the economic roundtable – as it happened,This blog has now closed,,https://www.theguardian.com/australia-news/live/2025/aug/21/australia-news-live-bruce-lehrmann-appeal-defamation-network-ten-lisa-wilkinson-economic-roundtable-tax-economic-reform-jim-chalmers-ntwnfb,2025-08-21T08:36:51Z,"construction, bridge, infrastructure, structural",Construction Management,,0.0,"The article provided does not contain any information related to Civil Engineering or infrastructure, making it impossible to assign any CE area or AI technology."
Guardian,"Morning Mail: plan to charge EVs for road use, which jobs are least vulnerable to AI, Paul Kelly’s Gravy sequel revealed",Albanese signals he will revive plans to tax EV drivers as petrol revenues fall; study ranks which professions face the axe from new technology,,https://www.theguardian.com/australia-news/2025/aug/14/morning-mail-thursday-ntwnfb,2025-08-13T21:01:44Z,construction,Transportation,,1.0,"The article mentions plans to tax EV drivers for road use, which falls under transportation infrastructure and policy."
Guardian,"Is AI going to steal your job? Not if you work in cleaning, construction or hospitality, Australian report finds",Jobs and Skills Australia says doomsday predictions are overblown but almost all occupations will be augmented by artificial intelligence,,https://www.theguardian.com/business/2025/aug/14/ai-artificial-intelligence-jobs-cleaning-construction-hospitality-australian-report,2025-08-13T14:01:20Z,"construction, structural",Construction Management,,1.0,"The article discusses the impact of AI on jobs in cleaning, construction, and hospitality industries, which directly relates to Construction Management in Civil Engineering."
Guardian,UK construction activity shrinks by most in five years; Trump imposes extra 25% tariff on India – as it happened,Britain’s building sector records biggest drop in activity since early in Covid-19 pandemic,,https://www.theguardian.com/business/live/2025/aug/06/openai-valuation-chatgpt-trade-war-trump-switzerland-brazil-construction-uk-eurozone-business-live-news-updates,2025-08-06T16:03:15Z,"construction, concrete, infrastructure",Construction Management,,1.0,"The article discusses the shrink in UK construction activity, which falls under Construction Management in Civil Engineering."
Guardian,Trump signs executive orders targeting ‘woke’ AI models and regulation,Crackdown would streamline the building of datacentres and remove environmental protections,,https://www.theguardian.com/us-news/2025/jul/23/trump-executive-orders-woke-ai,2025-07-24T01:01:52Z,"construction, infrastructure",Environmental Engineering,Predictive Analytics,0.9,"The article mentions removing environmental protections, which falls under Environmental Engineering. Additionally, the crackdown on AI models aligns with the use of Predictive Analytics for regulation and decision-making."
Guardian,Senate holds vote marathon on amendments to big beautiful bill – as it happened,Senators vote on potentially long list of amendments; White House confirms negotiations will restart after tech tax scrapped,,https://www.theguardian.com/us-news/live/2025/jun/30/donald-trump-one-big-beautiful-bill-senate-republicans-iran-us-politics-live-news-updates,2025-07-01T06:45:57Z,"construction, bridge, infrastructure, transportation",Construction Management,,1.0,"The article mentions the Senate voting on amendments to a bill related to infrastructure and civil engineering projects, indicating a connection to construction management."
Guardian,Eurostar passengers suffer ‘nightmare’ disruption after ‘cable theft’ disrupts services; Nasdaq 100 tech share index hits record high – as it happened,Disruption between St Pancras and Gare du Nord after theft of cables at Lille leave passengers stranded,,https://www.theguardian.com/business/live/2025/jun/25/teslas-eu-sales-slump-china-premier-global-trade-tensions-oil-stock-markets-business-live-news-updates,2025-06-25T15:16:27Z,"tunnel, construction, infrastructure, transportation",Transportation,,1.0,"The article discusses disruption in Eurostar services due to cable theft, which falls under transportation infrastructure."
Guardian,UK government unveils £275m boost to training and apprenticeships in England,Labour makes funding centrepiece of its industrial strategy in bid to counter Reform’s surge in so-called red wall,,https://www.theguardian.com/politics/2025/jun/22/uk-government-unveils-275m-boost-to-training-and-apprenticeships-in-england,2025-06-21T23:00:22Z,"construction, bridge, concrete, infrastructure",Construction Management,,1.0,"The article discusses the UK government's investment in training and apprenticeships, which are directly related to construction management in the context of infrastructure development and industrial strategy."
Guardian,UK fifth-worst country in Europe for loss of green space to development,"Exclusive: 1,680 football pitches of protected natural land in England, Wales and Northern Ireland lost in five years",,https://www.theguardian.com/environment/2025/oct/02/uk-fifth-worst-country-in-europe-for-loss-of-green-space-to-development,2025-10-02T05:00:40Z,"construction, concrete, infrastructure",Environmental Engineering,,1.0,"The article discusses the loss of green space to development, which falls under the realm of Environmental Engineering in Civil Engineering."
Guardian,Decline across UK and eurozone construction slows; European markets fall ahead of Fed rate decision – as it happened,People’s Bank of China cuts interest rates due to global uncertainty and ‘trade tensions’,,https://www.theguardian.com/business/live/2025/may/07/looming-us-china-trade-talks-lift-asian-stock-markets-china-cuts-interest-rates-federal-reserve-business-live,2025-05-07T14:18:02Z,construction,Construction Management,Predictive Analytics,0.9,"The article discusses interest rate cuts due to global uncertainty, which is related to financial aspects of construction management. Predictive analytics can be used for risk assessment in such scenarios."
Guardian,UK transport secretary calls HS2 an ‘appalling mess’ as she confirms delay - as it happened,Heidi Alexander vows to ‘sort out’ HS2 project which is delayed beyond 2033; UK inflation dips to 3.4%,,https://www.theguardian.com/business/live/2025/jun/18/uk-inflation-expected-dipped-may-federal-reserve-interest-rates-oil-business-live,2025-06-18T14:00:49Z,"tunnel, construction, infrastructure, structural","Transportation, Construction Management",,1.0,"The article discusses the UK transport secretary's comments on the HS2 project, which is a major transportation infrastructure project. Therefore, the relevant Civil Engineering area is Transportation."
Guardian,Want job security in the age of AI? Get a state license – any state license,The coming tech boom is about to launch a boom in people who do things with their hands and minds,,https://www.theguardian.com/business/2025/dec/15/job-security-state-license,2025-12-14T15:00:06Z,construction,Construction Management,Predictive Analytics,0.9,"The article discusses the importance of state licenses for job security in the age of AI, which aligns with Construction Management in civil engineering. The mention of tech boom and the need for predictive analytics for forecasting supports the classification."
Guardian,"Robotics, VR and a flight simulator: inside the new hub for tech at the University of South Wales","Set to open in autumn 2026, the university’s new £60m home for Stem is its biggest ever single investment – and a major marker of ambition for the future",,https://www.theguardian.com/uni-south-wales-shaping-stem-innovation/2025/dec/04/tech-innovation-hub-at-university-of-south-wales,2025-12-04T12:51:39Z,"construction, concrete",Construction Management,Robotics/Automation,0.9,"The article mentions the new hub for tech at the University of South Wales, which likely involves construction management for the development of the facility. Additionally, the inclusion of robotics and a flight simulator indicates the use of Robotics/Automation technologies."
