article1_id,article2_id,embedding_similarity,llm_confidence,reason,title1,title2,summary1,summary2,url1,url2
3,35,0.8570258700332475,1.0,Both articles report on Alphabet acquiring Intersect for $4.75bn to enhance AI capabilities and energy infrastructure in data centers.,Alphabet to acquire Intersect for $4.75bn in AI push,Alphabet Acquiring Data Center Firm Intersect,Alphabet is acquiring Intersect for $4.75bn to boost AI capabilities and accelerate energy development by expanding data center and generation capacity.,"Google's parent company Alphabet is acquiring Intersect, a data center firm, for $4.75 billion. This move aims to enhance AI data center capabilities and energy infrastructure.",https://www.verdict.co.uk/alphabet-to-acquire-intersect/,https://www.pymnts.com/acquisitions/2025/alphabet-acquiring-data-center-firm-intersect/
3,114,0.8915308398756634,0.9,"Both articles report on Alphabet's acquisition of Intersect for $4.75bn to enhance AI capabilities and focus on clean energy development, reflecting the same core story despite some differences in wording.",Alphabet to acquire Intersect for $4.75bn in AI push,Alphabet to buy clean energy developer Intersect in $4.75 billion deal amid AI push,Alphabet is acquiring Intersect for $4.75bn to boost AI capabilities and accelerate energy development by expanding data center and generation capacity.,Alphabet is acquiring clean energy developer Intersect for $4.75 billion as part of its AI expansion. This move reflects Big Tech's increased interest in energy companies due to challenges in meeting ,https://www.verdict.co.uk/alphabet-to-acquire-intersect/,https://economictimes.indiatimes.com/tech/technology/alphabet-to-buy-clean-energy-developer-intersect-in-4-75-billion-deal-amid-ai-push/articleshow/126126230.cms
3,1646,0.8751359807435654,1.0,"Both articles report on Alphabet's acquisition of Intersect for $4.75bn to enhance AI capabilities and energy development, emphasizing the impact on data centers and energy investments.",Alphabet to acquire Intersect for $4.75bn in AI push,Google parent Alphabet to acquire energy firm Intersect for $4.75 bn amid AI data centre push—details about the deal,Alphabet is acquiring Intersect for $4.75bn to boost AI capabilities and accelerate energy development by expanding data center and generation capacity.,"Google's parent company, Alphabet, is set to acquire energy firm Intersect for $4.75 billion, reflecting Big Tech's interest in energy investments. This move aligns with the growing energy demands of ",https://www.verdict.co.uk/alphabet-to-acquire-intersect/,https://www.livemint.com/companies/news/google-parent-alphabet-to-acquire-energy-firm-intersect-for-4-75-bn-amid-ai-data-centre-push-details-about-the-deal-11766429483960.html
39,246,0.8885300602986343,0.9,"Both articles discuss Pathos Communications' PathosMind identifying ten newsworthy individuals, with one focusing on leaders and the other on entrepreneurs. The core topic of identifying newsworthy figures through data analysis is the same.",Pathos Communications' PathosMind Highlights Ten Newsworthy Leaders,Pathos Communications' PathosMind Identifies Ten Newsworthy Entrepreneurs,Pathos Communications' PathosMind identifies ten newsworthy leaders by analyzing global news publishers and conversations among Pathos contacts. This agentic platform highlights individuals and ideas ,Pathos Communications' PathosMind utilizes extensive data to identify ten newsworthy entrepreneurs by monitoring news publishers and conversations across a global network of Pathos contacts. The platf,https://www.ibtimes.com/pathos-communications-pathosmind-highlights-ten-newsworthy-leaders-3793490,https://www.ibtimes.com/pathos-communications-pathosmind-identifies-ten-newsworthy-entrepreneurs-3793249
59,64,0.8868349232599889,0.9,"Both articles discuss Endra securing $20 million in seed funding to automate mechanical, electrical, and plumbing design for construction/commercial buildings, emphasizing the importance of advancing technology in building processes.","Endra secures $20M to automate mechanical, electrical and plumbing design for construction","Exclusive: Swedish startup automating mechanical, electrical, and plumbing design for commercial buildings raises $20 million in seed round","Endra Systems AB, an AI and generative design startup, secured $20 million in seed funding led by Notion Capital. The funding aims to automate mechanical, electrical, and plumbing design for construct","Swedish startup Endra raises $20 million in seed funding led by Notion Capital to automate mechanical, electrical, and plumbing design for commercial buildings. Endra claims to significantly decrease ",https://siliconangle.com/2025/12/19/endra-secures-20m-automate-mechanical-electrical-plumbing-design-construction/,https://fortune.com/2025/12/18/endra-ai-startup-automating-mep-design-sweden-20-million-seed-round-notion-capital/
60,1181,0.8973086488338999,0.9,"Both articles discuss Google's plan to launch data centers into space in 2027 to advance AI and computing, with mentions of SpaceX and Blue Origin's involvement.",Data Centers in Space: Will 2027 Really Be the Year AI Goes to Orbit?,Data centres in space: will 2027 really be the year AI goes to orbit?,Google aims to advance AI and computing by launching prototype satellites into orbit in early 2027. This move represents a significant step towards utilizing space-based data centers.,"In 2027, Google aims to begin testing data centers in space, with SpaceX and Blue Origin also exploring this concept. This initiative raises the question of whether artificial intelligence (AI) will b",https://singularityhub.com/2025/12/19/data-centers-in-space-will-2027-really-be-the-year-ai-goes-to-orbit/,https://theconversation.com/data-centres-in-space-will-2027-really-be-the-year-ai-goes-to-orbit-271018
114,1646,0.8923571153282178,0.9,"Both articles report on Alphabet's acquisition of clean energy developer Intersect for $4.75 billion amid an AI push, highlighting the importance of energy investments in meeting generative AI demands and enhancing AI data centers.",Alphabet to buy clean energy developer Intersect in $4.75 billion deal amid AI push,Google parent Alphabet to acquire energy firm Intersect for $4.75 bn amid AI data centre push—details about the deal,Alphabet is acquiring clean energy developer Intersect for $4.75 billion as part of its AI expansion. This move reflects Big Tech's increased interest in energy companies due to challenges in meeting ,"Google's parent company, Alphabet, is set to acquire energy firm Intersect for $4.75 billion, reflecting Big Tech's interest in energy investments. This move aligns with the growing energy demands of ",https://economictimes.indiatimes.com/tech/technology/alphabet-to-buy-clean-energy-developer-intersect-in-4-75-billion-deal-amid-ai-push/articleshow/126126230.cms,https://www.livemint.com/companies/news/google-parent-alphabet-to-acquire-energy-firm-intersect-for-4-75-bn-amid-ai-data-centre-push-details-about-the-deal-11766429483960.html
185,1317,0.918066856382537,1.0,"Both articles report on the merger between Trump Media & Technology Group and TAE Technologies in a $6 billion deal, highlighting the collaboration between a social media platform and a nuclear fusion energy company with potential implications for both industries.",Trump Truth Social is Merging with TAE Technologies Nuclear Fusion,Trump’s Truth Social Merges With Nuclear Fusion Company in $6 Billion Deal,"The parent company of Truth Social, Trump Media & Technology Group, is merging with TAE Technologies, a prominent private nuclear fusion energy company. The merger, valued at over $6 billion, involves","The article discusses the merger between Trump Media & Technology Group (TMTG), the company behind Truth Social, and nuclear fusion firm TAE Technologies in a $6 billion deal. This strategic move aims",https://www.nextbigfuture.com/2025/12/trump-truth-social-is-merging-with-tae-technologies-nuclear-fusion.html,https://freerepublic.com/focus/f-news/4358044/posts
185,1322,0.8855602510727923,1.0,"Both articles report on the merger between Trump Media & Technology Group and TAE Technologies in a $6 billion deal, involving Truth Social's entry into fusion energy. The summaries highlight the strategic move of combining a social media company with a nuclear fusion technology firm, emphasizing the significance of this partnership in both industries.",Trump Truth Social is Merging with TAE Technologies Nuclear Fusion,Trump Goes Nuclear: Truth Social’s $6 Billion Leap into Fusion Energy,"The parent company of Truth Social, Trump Media & Technology Group, is merging with TAE Technologies, a prominent private nuclear fusion energy company. The merger, valued at over $6 billion, involves","The article discusses Trump Media & Technology Group's merger with TAE Technologies in a $6 billion deal, marking Truth Social's entry into fusion energy. This strategic move combines a social media c",https://www.nextbigfuture.com/2025/12/trump-truth-social-is-merging-with-tae-technologies-nuclear-fusion.html,https://oilprice.com/Energy/Energy-General/Trump-Goes-Nuclear-Truth-Socials-6-Billion-Leap-into-Fusion-Energy.html
186,192,0.8551827877815353,0.9,Both articles discuss Bernie Sanders' call for a halt on new data center construction to address concerns about rapid growth and technological advancement.,Bernie Sanders Calls for Halt on Construction of New Data Centers,Bernie Sanders Wants To Pause New Data Centers To Stop the Economy From Growing Too Much,Bernie Sanders has called for a halt on the construction of new data centers due to the rapid pace of the process. This move aims to slow down the development of data centers. The article highlights S,Bernie Sanders proposes a halt on new data centers to curb the rapid growth of the artificial intelligence and robotics sectors. This initiative aims to prevent the economy from expanding excessively.,http://futurism.com/future-society/bernie-sanders-ai-data-centers,https://reason.com/2025/12/17/bernie-sanders-wants-to-pause-new-data-centers-to-stop-the-economy-from-growing-too-much/
